,Id,degree,group
0,352612489,324,5
1,526439855,267,7
2,1951228699,260,5
3,1455485081594777612,241,7
4,761584018823479298,210,5
5,479333563,130,5
6,1070332391217078273,126,1
7,1160502001249280000,116,0
8,915246066869719041,88,6
9,751431918084820996,83,6
10,984067923718361089,76,0
11,1656073075,61,7
12,711159636989251585,47,0
13,838136759254978562,31,2
14,776304856046964736,22,2
15,481204190,22,2
16,826788345296670725,20,2
17,258719968,19,3
18,2348853575,19,4
19,69098454,18,2
20,50942398,17,4
21,284443848,15,2
22,1131252543412199425,14,2
23,18896884,13,0
24,176933556,12,2
25,3375753083,10,2
26,1501792469507362819,8,2
27,127261664,7,2
28,1382753039426158598,4,5
29,146182194,4,5
30,707187389266071552,4,3
31,1247398322,4,5
32,2492805732,4,5
33,1374464363747102720,4,5
34,860023328454692865,4,5
35,1126466788055818240,4,1
36,1493338024029171719,4,5
37,1657761703,4,2
38,847392516076851208,3,2
39,1444768247786745861,3,1
40,2522775577,3,7
41,811596792018178048,3,2
42,1537300579,3,5
43,1601240370779721728,3,7
44,430862492,3,5
45,1058699424,3,7
46,15210670,3,6
47,22122723,3,7
48,1225521458,3,5
49,730048403107885056,3,2
50,1513782324940451842,3,1
51,1389264663934873604,3,7
52,2688043420,3,5
53,2827942301,3,5
54,1411574269,3,6
55,1583346537463169025,3,5
56,372879881,3,5
57,376160781,3,3
58,113465940,3,7
59,268737141,3,5
60,3987919475,3,5
61,1434580268812226561,3,7
62,2765009549,3,1
63,1415927503403765762,3,5
64,987544237,3,5
65,3212643651,3,6
66,1040070581117280257,3,5
67,956236592,3,2
68,350432048,3,2
69,2909995840,3,7
70,1303044427812925440,3,1
71,288723855,3,5
72,185150387,3,1
73,272141278,3,7
74,306459622,3,7
75,353278974,3,1
76,55516160,3,1
77,16688184,3,1
78,1445614926605680651,3,5
79,240200763,3,5
80,1292540844709482496,3,7
81,4201505907,3,5
82,1244966128880881664,3,1
83,81341599,3,5
84,2879323313,3,5
85,200512696,3,5
86,1351672365307092992,3,5
87,413080798,3,5
88,1183405153778622465,3,5
89,1535974671413387265,3,7
90,1222246868773675009,3,7
91,234292511,3,0
92,1016798509,3,5
93,356388152,3,7
94,162078071,3,5
95,570721702,3,5
96,122729919,3,5
97,836042191,3,1
98,321863123,3,5
99,2585800272,3,5
100,480335456,3,5
101,1490313193763360768,3,7
102,880458520763748352,3,1
103,1424853967348158470,3,1
104,735616718,3,5
105,1405353690,3,5
106,1554088182672760832,3,5
107,389140227,3,1
108,1211562705242349568,3,7
109,1039253199805407233,3,5
110,1087330098796290049,3,5
111,488687420,3,5
112,414603074,3,2
113,1683181554,3,5
114,1473962478442790920,2,2
115,1432037471752163339,2,7
116,1428819496018628620,2,7
117,1215294233021702153,2,1
118,1578840952675893251,2,7
119,1344358131682443266,2,7
120,1344134110831378436,2,2
121,1262439880233189380,2,3
122,444989456,2,5
123,3188484119,2,6
124,4712108057,2,7
125,486975513,2,5
126,137310233,2,0
127,1291089009507172357,2,6
128,4107139102,2,6
129,21606534,2,3
130,91449381,2,0
131,137162790,2,7
132,2176866343,2,7
133,88901678,2,5
134,2496761904,2,4
135,1151019061,2,6
136,19347517,2,5
137,380923967,2,7
138,2715353151,2,2
139,1166967834452398081,2,5
140,242081857,2,5
141,273662019,2,2
142,1262248004,2,5
143,712565254392320000,2,2
144,753318347052355584,2,5
145,757879605646790656,2,5
146,718485445173252096,2,5
147,842344138708291584,2,5
148,521236560,2,0
149,719225787145195520,2,0
150,878736209631117312,2,5
151,549621843,2,6
152,245479510,2,2
153,494282838,2,5
154,1011869785,2,7
155,185198684,2,7
156,2469859425,2,2
157,772152647776407553,2,0
158,1386813541,2,4
159,2511181932,2,5
160,126984307,2,2
161,24942708,2,0
162,722520904538923008,2,6
163,776284279,2,3
164,255062142,2,7
165,1518959528661946368,2,1
166,1160369303436136448,2,7
167,707762592262000641,2,1
168,1386943867660996608,2,7
169,1340310769020375040,2,7
170,800278006367326208,2,7
171,1344296041668087810,2,7
172,730130816479662081,2,0
173,1462097848204464130,2,5
174,792312864182767617,2,0
175,537155727,2,5
176,1428471904164253699,2,7
177,701374609,2,7
178,599992465,2,7
179,1487161134251708419,2,5
180,251146379,2,0
181,1387718094575964164,2,7
182,1429827153533734916,2,7
183,1371218366384508931,2,5
184,91400345,2,5
185,1329484143059734533,2,7
186,1396472260031025158,2,7
187,1403752144503705606,2,7
188,719454370,2,5
189,3955876005,2,5
190,50800805,2,0
191,81053871,2,5
192,198516911,2,5
193,5548212,2,2
194,4829868215,2,7
195,1396927342317015051,2,5
196,3128623287,2,6
197,2598066360,2,2
198,106877117,2,5
199,965653414280617984,2,7
200,921698434645680128,2,2
201,2552082624,2,5
202,1217754338837323776,2,5
203,1181508591733411840,2,5
204,920616112966000640,2,2
205,242423809,2,5
206,3256791239,2,5
207,76583112,2,5
208,423923914,2,7
209,3010130127,2,5
210,1216289117354516481,2,5
211,2680922327,2,5
212,1029036187393122305,2,5
213,21651675,2,5
214,1226209500,2,7
215,1197242587,2,2
216,111421663,2,7
217,721715424,2,7
218,492611810,2,1
219,230758626,2,1
220,775024717191319552,2,4
221,460093671,2,5
222,628365320,2,5
223,712085738,2,4
224,2842609901,2,6
225,87171315,2,0
226,88168692,2,4
227,245465334,2,5
228,3733281017,2,7
229,89032955,2,7
230,1016328821090541568,2,0
231,1051848212653531136,2,0
232,999281615510691840,2,2
233,93233409,2,7
234,509896962,2,7
235,743062965797199872,2,2
236,797449189143748608,2,5
237,722150195518119936,2,5
238,1346107026615771137,2,7
239,33859847,2,2
240,771267229048446977,2,1
241,2971924743,2,7
242,807250549867421696,2,5
243,1408506323696689153,2,0
244,1053943041789112321,2,5
245,1406692306644836355,2,7
246,1344024563210985475,2,0
247,49961235,2,5
248,309086484,2,6
249,1501576113641955332,2,7
250,3086381334,2,1
251,1176181637765390337,2,0
252,1094879122130722817,2,0
253,1068258546729607169,2,4
254,1454387280425197573,2,7
255,325107994,2,6
256,3346262301,2,6
257,2400409886,2,6
258,820656179114287110,2,6
259,242605191,2,5
260,3428208929,2,2
261,3253539107,2,5
262,733255549999939584,2,6
263,155259177,2,5
264,762245419,2,7
265,287197483,2,5
266,2346428717,2,5
267,1466497328,2,5
268,588386608,2,5
269,1220282367518093312,2,5
270,262093107,2,7
271,1507413365680971786,2,5
272,198914357,2,5
273,3056226615,2,5
274,313444670,2,0
275,396781889,2,1
276,244564290,2,0
277,4126048577,2,5
278,1590706502,2,5
279,14897481,2,1
280,1286775668345319425,2,7
281,1239872424050601985,2,0
282,928924037102829568,2,5
283,912756128332820481,2,0
284,863397170417893376,2,6
285,909171888345231361,2,6
286,700615001,2,4
287,2391507291,2,7
288,154093915,2,5
289,1153780062,2,3
290,1241424223,2,0
291,2291403106,2,7
292,46096738,2,7
293,1062365915860348930,2,5
294,3262065003,2,5
295,562049388,2,7
296,26304875,2,0
297,124139886,2,5
298,2186555756,2,0
299,1921034604,2,5
300,1251779973364559872,2,0
301,3315831155,2,6
302,239796602,2,7
303,174821757,2,5
304,834127074898096128,2,7
305,774544320829403136,2,7
306,1519957361309462528,2,0
307,1082988932,2,0
308,1333609751134023680,2,5
309,789946758,2,2
310,1363853596522131457,2,2
311,2939814281,2,0
312,48732554,2,1
313,1495393253969047554,2,5
314,1229828199837839361,2,0
315,78277006,2,0
316,74119564,2,2
317,41873808,2,0
318,566280594,2,6
319,221874579,2,5
320,448188825,2,5
321,20283802,2,7
322,1357984170836963333,2,5
323,222187932,2,7
324,475054491,2,5
325,2328854937,2,6
326,424638881,2,0
327,1270938368986296322,2,7
328,1022957275630252034,2,5
329,1236627199907835906,2,0
330,1508460645343244296,2,2
331,105243055,2,1
332,20160943,2,5
333,467366319,2,5
334,275460535,2,0
335,3545903547,2,6
336,2991651261,2,5
337,143569342,2,7
338,236138943,2,0
339,55550401,2,0
340,1296386166162427904,2,5
341,3099017666,2,6
342,222429638,2,0
343,633240011,2,5
344,845912533,2,0
345,319316439,2,1
346,1275603415,2,7
347,236968407,2,7
348,44900825,2,5
349,2885462489,2,5
350,820049263694581760,2,5
351,710707680,2,5
352,770724116743815168,2,5
353,1085472432062955520,2,4
354,1244643894333243392,2,5
355,757495753082372096,2,5
356,101020138,2,5
357,461500907,2,0
358,2444007915,2,7
359,905793678870020096,2,2
360,304480756,2,7
361,61155830,2,2
362,2279506423,2,1
363,979227127,2,3
364,636097016,2,5
365,65888763,2,7
366,765225184374784001,2,6
367,113324544,2,5
368,1493938478316404736,2,7
369,1403779943142670336,2,7
370,1556949827874865152,2,5
371,332780034,2,5
372,956324967422967808,2,0
373,29471238,2,4
374,1534900538369785857,2,7
375,1238877786678444033,2,7
376,1412436782436728834,2,1
377,2261017097,2,5
378,152353292,2,2
379,1253173568957005827,2,1
380,1407692329251651587,2,7
381,422949392,2,0
382,1361319824106864643,2,6
383,718299668,2,1
384,288250384,2,6
385,2727068670,2,5
386,183261723,2,5
387,3144653346,2,1
388,228297250,2,5
389,1583626788,2,0
390,158120484,2,5
391,4218509865,2,5
392,2326458924,2,7
393,2758212142,2,0
394,1429850672,2,7
395,636820016,2,5
396,166326833,2,0
397,478988856,2,7
398,1358864953,2,5
399,303577660,2,0
400,1933042237,2,5
401,600394301,2,5
402,2154562110,2,6
403,179104324,2,5
404,2894707270,2,2
405,276996680,2,0
406,59402824,2,5
407,824019530,2,1
408,21723721,2,6
409,24289870,2,7
410,381491791,2,6
411,349082197,2,7
412,288481878,2,1
413,822882075682492416,2,5
414,309850715,2,7
415,886489874102177792,2,0
416,2756026973,2,2
417,946009220528427008,2,5
418,803265169040216064,2,3
419,795980609688653824,2,5
420,934794758630887424,2,6
421,2902675450,2,4
422,98173538,2,5
423,1227832661785399297,2,7
424,251810420,2,1
425,1174386494255091713,2,5
426,403991161,2,1
427,248386169,2,7
428,2284567162,2,7
429,3491969657,2,5
430,350012026,2,6
431,50780800,2,7
432,820258025311260672,2,7
433,1021080519033966592,2,7
434,1173997702541168640,2,7
435,747559554,2,0
436,1426179694362251265,2,7
437,1010151448049569793,2,7
438,1443491121745645569,2,1
439,1478688470826635266,2,7
440,1216273568776015874,2,1
441,1343958941072576514,2,7
442,1082907674323210241,2,7
443,1463285559271378947,2,7
444,1355194017202524162,2,5
445,750437171883024384,2,5
446,30923412,2,7
447,760099332330758144,2,5
448,773241990926442496,2,5
449,1585789591,2,0
450,48288407,2,5
451,3071961756,2,1
452,429752990,2,5
453,825458278696177670,2,1
454,1320721985186516998,2,7
455,1398708863927472134,2,7
456,1375461256140705798,2,5
457,1229517566621732870,2,0
458,217176736,2,5
459,4492303007,2,5
460,4856677030,2,5
461,1923091110,2,5
462,2731311784,2,7
463,202134184,2,2
464,3147508395,2,5
465,2544773807,2,7
466,2759844527,2,2
467,3764320943,2,5
468,194122418,2,5
469,2400631471,2,6
470,136396429,2,3
471,1365164730,2,1
472,1433693049373216780,2,0
473,64187070,2,1
474,1325642430,2,1
475,133847755,2,0
476,1071110862,2,5
477,1322313033255952384,2,5
478,709349933422419968,2,2
479,2864292563,2,7
480,17881816,2,5
481,702118617,2,5
482,244402906,2,1
483,2877874905,2,0
484,873730782,2,5
485,384275169,2,5
486,422816485,2,5
487,63011561,2,7
488,18938604,2,0
489,177582828,2,0
490,53598959,2,5
491,22786802,2,6
492,3065590516,2,5
493,2499490548,2,0
494,297908987,2,5
495,1291302591184461824,2,2
496,1145834305685512192,2,7
497,1259076423144398848,2,7
498,1132360897471668224,2,7
499,337236738,2,7
500,1565945184742957057,2,7
501,1433725267193782273,2,1
502,1241757224151769089,2,7
503,31351557,2,0
504,487875329,2,5
505,1356236442729668610,2,7
506,1326920596987535362,2,7
507,1249667499043545089,2,5
508,1254832465593720833,2,5
509,1341506376561025027,2,7
510,156773134,2,5
511,222462730,2,5
512,251495179,2,2
513,1208843838640578565,2,7
514,3200101149,2,6
515,1478453418595344390,2,7
516,1458157112618541062,2,0
517,342037286,2,5
518,45288232,2,5
519,2228548397,2,7
520,1211325230,2,7
521,281432880,2,5
522,4284328757,2,5
523,2636421944,2,1
524,141726525,2,0
525,2872757056,2,5
526,2433497923,2,5
527,61167235,2,4
528,1272828703630819328,2,7
529,2917188431,2,7
530,358224719,2,7
531,227806035,2,5
532,701700948,2,2
533,2504909654,2,6
534,1103924058,2,5
535,3348667228,2,5
536,348523357,2,5
537,1688755038,2,0
538,354931551,2,7
539,870126432,2,2
540,2373069665,2,7
541,190337893,2,6
542,117363558,2,5
543,146762599,2,5
544,14048104,2,1
545,2562329445,2,6
546,72530798,2,5
547,43807600,2,1
548,77990769,2,7
549,3021687670,2,5
550,865626247694499840,2,5
551,1490201472,2,6
552,1265921406849609728,2,1
553,182705026,2,1
554,1038781782664114176,2,7
555,940694267177168896,2,7
556,381696897,2,7
557,1327991382791909376,2,7
558,520215432,2,7
559,1468215688074391553,2,7
560,1150958474,2,1
561,15522690,2,7
562,1501129203969716226,2,5
563,1050825898839207937,2,5
564,861679161936670721,2,5
565,860941496400441346,2,5
566,465769367,2,7
567,3354790809,2,4
568,1252229328772820997,2,1
569,387834778,2,5
570,311686044,2,0
571,4707318681,2,5
572,281213860,2,5
573,26594220,2,2
574,2204646321,2,5
575,2909119414,2,5
576,86729655,2,5
577,1030810422289547264,2,0
578,352590775,2,5
579,701465912147361792,2,6
580,63067073,2,0
581,82709444,2,2
582,2403402695,2,7
583,801203845,2,5
584,2223748046,2,5
585,5514192,2,5
586,2424097747,2,4
587,55585752,2,0
588,89664475,2,5
589,304559068,2,7
590,167189475,2,0
591,20444134,2,2
592,237095910,2,7
593,107652070,2,5
594,38745065,2,5
595,470371307,2,0
596,610841580,2,7
597,474282989,2,7
598,42191852,2,5
599,396590057,2,2
600,3070239729,2,5
601,1662886908,2,1
602,51815420,2,7
603,319554558,2,7
604,773468567509565440,2,1
605,1359995099363573760,2,1
606,1073339659223269376,2,1
607,1548794738878414848,2,1
608,1073883334877609984,2,7
609,1079815171512696833,2,7
610,900296286460674049,2,1
611,1549354373272272897,2,2
612,1302190826689363968,2,2
613,1299007301647564800,2,7
614,781903854229225474,2,0
615,1093527091063259138,2,7
616,1109123875760209921,2,5
617,1324264836348477441,2,0
618,621120527,2,7
619,1380782592266502147,2,7
620,258933782,2,7
621,122764311,2,7
622,187323418,2,0
623,3205323803,2,0
624,999523808825479168,2,6
625,474248221,2,0
626,2194367518,2,7
627,748419969524719616,2,5
628,1332814383747981312,2,0
629,405554207,2,4
630,64205859,2,5
631,410541092,2,7
632,389542952,2,5
633,56652841,2,5
634,1194279814158520320,2,5
635,1052960041496645632,2,5
636,2478335020,2,5
637,1172154627816591360,2,0
638,1362385391794356233,2,0
639,1293497746343759872,2,2
640,1227501394183229440,2,5
641,1186668453521952768,2,5
642,1158445861082402816,2,5
643,1066772625517613056,2,5
644,102700416,2,5
645,272598070,2,0
646,165723196,2,2
647,2942264380,2,5
648,159933501,2,5
649,872712980252823553,2,0
650,784959488,2,4
651,2741036098,2,7
652,982887756350263297,2,5
653,221905987,2,5
654,1883051078,2,7
655,300473414,2,5
656,320459849,2,5
657,996390593587707904,2,6
658,167359564,2,5
659,31097945,2,7
660,375687173,2,5
661,4745608283,2,7
662,311153753,2,3
663,472185954,2,0
664,433214565,2,7
665,1161516543819354112,2,7
666,2518328428,2,0
667,597326957,2,5
668,4704898158,2,5
669,14855279,2,0
670,981978698005057536,2,5
671,1089260653,2,5
672,1195624967347605504,2,5
673,247436406,2,7
674,885149406407778305,2,0
675,126067830,2,5
676,1028077706,2,5
677,270447739,2,3
678,1264563992200122368,2,2
679,1230489279614324736,2,7
680,1019642542818758656,2,7
681,1129333897194606592,2,1
682,1149228150418739201,2,7
683,1279286348550148096,2,1
684,61987976,2,2
685,1571790556711325697,2,7
686,966035918992936960,2,7
687,985410066374365185,2,7
688,947524243960532993,2,2
689,3201094797,2,7
690,2363079821,2,7
691,24378502,2,2
692,152636553,2,7
693,1200745616,2,5
694,1158443853269078018,2,0
695,81327251,2,7
696,793840169849729024,2,2
697,1289570570649112580,2,7
698,1129532554644787205,2,7
699,1175825466785239045,2,7
700,1276141834880913413,2,2
701,1304416871010242565,2,5
702,991057548131405830,2,5
703,50326689,2,1
704,2497378959,2,2
705,84679848,2,7
706,1441977516,2,0
707,1290657284750741513,2,6
708,2743598255,2,5
709,227699888,2,1
710,112374962,2,7
711,374486194,2,5
712,1343845555,2,2
713,4330144943,2,6
714,29078703,2,2
715,1521549985048846337,2,0
716,1381358346264010753,2,0
717,414586047,2,1
718,215727295,2,5
719,401978561,2,7
720,24969865,2,5
721,104490183,2,5
722,566262984,2,5
723,259237066,2,7
724,55901387,2,1
725,26787018,2,0
726,2769884363,2,5
727,1082637517,2,6
728,1283419344,2,1
729,762874741262725120,2,6
730,233655509,2,1
731,217388247,2,5
732,88161496,2,5
733,485832454,2,6
734,4884522202,2,1
735,400524509,2,5
736,861619422,2,5
737,2289411297,2,5
738,758025083948589056,2,3
739,902779728339361792,2,6
740,887640046823759872,2,2
741,303684841,2,5
742,921753996582408192,2,6
743,3296474356,2,5
744,861536580263174145,2,5
745,223608058,2,1
746,490585338,2,0
747,97893626,2,4
748,1897825531,2,6
749,1203602961248722944,2,7
750,1306959917178331136,2,1
751,1109761074251866112,2,2
752,2883134725,2,1
753,1155445832558288897,2,7
754,914990024768331777,2,1
755,1097256923173396481,2,1
756,1390177885416300545,2,7
757,614669580,2,5
758,1422954400537092098,2,0
759,881253316784791553,2,4
760,1269702521104277505,2,5
761,3295307024,2,0
762,1364225519533793283,2,6
763,16567574,2,0
764,2912701720,2,6
765,2162357530,2,4
766,247846173,2,7
767,2748517662,2,6
768,1394360545051123718,2,7
769,17229089,2,0
770,1444429272333131783,2,1
771,1429832566346063879,2,7
772,802311463,2,2
773,482835754,2,0
774,542809387,2,7
775,843287858,2,6
776,1295713590,2,0
777,211653945,2,7
778,1359795332,2,6
779,4352271675,2,5
780,939978044,2,5
781,22537537,2,5
782,459740481,2,0
783,3402507587,2,7
784,2873748802,2,0
785,717978949,2,7
786,46509382,2,0
787,90936647,2,0
788,2310444360,2,2
789,1571259714,2,3
790,307008842,2,7
791,2202426699,2,7
792,404153671,2,5
793,1542769999,2,0
794,160496978,2,5
795,1382186324,2,3
796,1333292376,2,6
797,926763834039140353,2,5
798,133086561,2,2
799,2383750502,2,5
800,1244308848,2,0
801,127526259,2,0
802,389010804,2,7
803,509095286,2,5
804,325424510,2,5
805,46153088,2,0
806,942177549098070016,2,7
807,1234728754733363200,2,7
808,499750275,2,7
809,1035117251517657088,2,5
810,4865217921,2,0
811,1277272138005852161,2,7
812,987605427184599040,2,7
813,1021075791751327745,2,7
814,754013831643398144,2,7
815,1551981905553240065,2,1
816,1531567803332952064,2,1
817,1558888011848351744,2,1
818,1222266703796633600,2,1
819,1172184149467246593,2,1
820,1139646318983426049,2,2
821,1495923578025521155,2,1
822,239484305,2,1
823,1152273991803056131,2,7
824,1229048004574883842,2,7
825,851787545432272898,2,7
826,326864277,2,7
827,134126993,2,5
828,730889624,2,2
829,125648284,2,5
830,177870238,2,5
831,1319662734795997185,2,1
832,1557287789930086401,2,7
833,1275433639254339590,2,7
834,1559548775374389249,2,7
835,1299703012353617928,2,2
836,1467979243007225864,2,7
837,3591830955,2,7
838,1526289195932823560,2,5
839,4375397806,2,5
840,3092129199,2,7
841,30062001,2,0
842,3532572082,2,1
843,1567653294,2,5
844,2980169135,2,6
845,51822006,2,5
846,1181873306183454720,2,5
847,2500560315,2,7
848,136611260,2,2
849,2319175100,2,5
850,212702656,2,1
851,305214918,2,1
852,1704609223,2,7
853,2179911112,2,7
854,1296085210342227968,2,7
855,2192596446,2,5
856,53706209,2,7
857,2245418471,2,0
858,4921386472,2,1
859,901434860,2,5
860,179944945,2,5
861,404053490,2,5
862,3298590199,2,5
863,848591393886949376,2,7
864,1086007922042257408,2,1
865,1526599191820222464,2,2
866,1475846776305467392,2,7
867,1559236582816858112,2,7
868,1230755689259122688,2,5
869,1534532729374752769,2,2
870,1398584950866296833,2,7
871,1159540664109023233,2,4
872,1087722334092443648,2,5
873,982404613,2,5
874,19881731,2,0
875,1491120490571874305,2,5
876,359843341,2,3
877,248186376,2,5
878,57067020,2,5
879,3255514641,2,5
880,384574994,2,7
881,127647252,2,5
882,1466525450725998596,2,1
883,1256705564,2,6
884,1407995174500941830,2,5
885,309900842,2,5
886,212715051,2,2
887,1049978412,2,2
888,292228656,2,7
889,178009651,2,5
890,2962333241,2,1
891,915635008488001536,2,7
892,854060925044838400,2,7
893,1074125773215289344,2,5
894,1035273262945718272,2,5
895,796563002,2,5
896,992111336753647616,2,3
897,99147325,2,6
898,974942348856758272,2,5
899,469503555,2,1
900,4366796355,2,7
901,905518099058888704,2,6
902,19742281,2,0
903,1588414026,2,5
904,456826445,2,1
905,2319103570,2,1
906,922888460586897409,2,5
907,20538964,2,0
908,760585813,2,6
909,361152088,2,0
910,1055194716,2,0
911,1903916654,2,7
912,981195529190219776,2,5
913,911312803989921792,2,6
914,393580147,2,5
915,3236284022,2,1
916,1103374823533826048,2,7
917,1294686382129139712,2,0
918,1227948954551308288,2,0
919,912417265425043456,2,4
920,1005907163993329664,2,5
921,935983171895808000,2,5
922,1075285548414193664,2,7
923,1219938792360103936,2,7
924,1521782162638491648,2,7
925,1413892188975648768,2,7
926,1033720259977596929,2,1
927,338968199,2,1
928,1522313256366493697,2,7
929,1116517442879016960,2,7
930,1508511798529609730,2,7
931,1234441999199227905,2,7
932,1054715740992032769,2,7
933,980177958722850818,2,5
934,341735052,2,5
935,1411754137239408643,2,7
936,1017135802902630403,2,7
937,1619776166222614531,2,5
938,469917330,2,5
939,246001296,2,0
940,1212318751682514947,2,0
941,1043419661973573633,2,5
942,2384998032,2,6
943,1281539765893058565,2,7
944,55215772,2,5
945,1465813708945477638,2,7
946,986310257336045574,2,7
947,3326332575,2,5
948,69246623,2,0
949,55850661,2,7
950,2786959013,2,5
951,2490533544,2,1
952,20434600,2,0
953,20692650,2,0
954,23484075,2,5
955,20696744,2,6
956,35517188,2,0
957,1237639078050439168,2,0
958,841727939288932352,2,5
959,322623149,2,6
960,790856791580180481,2,6
961,849651378,2,0
962,2777247413,2,0
963,3207059129,2,7
964,2286771903,2,1
965,765411008,2,7
966,443694788,2,7
967,93386436,2,5
968,354475720,2,7
969,2298977992,2,5
970,1243893319605813248,2,7
971,751718185494249472,2,5
972,253071056,2,5
973,467885779,2,2
974,49768153,2,5
975,257453793,2,0
976,1478930772400631808,2,0
977,589158118,2,5
978,225505003,2,5
979,1363762926,2,7
980,1549754885922594816,2,7
981,1036670850362220544,2,5
982,856254900224892928,2,5
983,910845268870012928,2,6
984,28303094,2,5
985,1239205217545019392,2,7
986,1047843532898295808,2,1
987,1310377729,2,7
988,1118488453656797185,2,2
989,1215390836936073217,2,1
990,1042469730060328961,2,1
991,84690697,2,1
992,1061184175766757377,2,1
993,1185885902448549890,2,7
994,966716015987056642,2,7
995,1150499232937336833,2,5
996,1355034809656074243,2,5
997,32995091,2,0
998,846433198263427076,2,3
999,2738311809,2,5
1000,190906140,2,5
1001,295108382,2,6
1002,41702018,2,4
1003,752823000832045056,2,5
1004,760079403711885312,2,6
1005,320327461,2,5
1006,2893666086,2,0
1007,346836775,2,0
1008,21391144,2,2
1009,125282089,2,5
1010,2992162597,2,5
1011,21042987,2,0
1012,3204187947,2,6
1013,97916717,2,6
1014,75603265,2,2
1015,2172495666,2,5
1016,1071636492,2,5
1017,211468094,2,5
1018,1194213930954100737,2,5
1019,1537355581,2,6
1020,218570559,2,2
1021,479426371,2,6
1022,489649541,2,5
1023,1035536202,2,6
1024,2210522955,2,5
1025,2744444752,2,5
1026,930740951957454848,2,6
1027,100734811,2,5
1028,297008989,2,6
1029,1648029536,2,7
1030,2827462498,2,1
1031,899217771166396416,2,7
1032,866254371029479424,2,5
1033,110223203,2,5
1034,921695166746030080,2,5
1035,973152183851118592,2,5
1036,922764335826563072,2,2
1037,2372648808,2,2
1038,95522664,2,6
1039,601196398,2,0
1040,47341423,2,5
1041,267743091,2,0
1042,235159413,2,0
1043,2650767223,2,1
1044,4857290615,2,6
1045,2168444796,2,7
1046,148701051,2,0
1047,2955026301,2,0
1048,182067071,2,5
1049,1107358529738829824,2,7
1050,1212827859783315456,2,5
1051,1331672565971087360,2,0
1052,444991363,2,5
1053,819896277706141697,2,0
1054,818095004900061185,2,2
1055,396439437,2,5
1056,755926926,2,7
1057,1349345358527262723,2,7
1058,486084508,2,2
1059,2914213804,2,2
1060,198836140,2,5
1061,44206000,2,5
1062,282222513,2,1
1063,1932090410,2,6
1064,167126966,2,1
1065,16316345,2,1
1066,92571577,2,7
1067,3288999870,2,7
1068,267184063,2,0
1069,53188546,2,0
1070,2170048456,2,5
1071,1557652334175453184,2,7
1072,492146637,2,5
1073,285779921,2,2
1074,25524180,2,7
1075,31145941,2,6
1076,48910294,2,5
1077,836507291629338624,2,6
1078,320325596,2,0
1079,12646372,2,0
1080,772089828,2,0
1081,29550566,2,6
1082,1979578376,2,5
1083,63946731,2,0
1084,231583734,2,5
1085,229984250,2,7
